id_ag_num_a;id_ag_num_b;1;2;3;4;5;6;7;NO_x;NAME_x;LON_x;LAT_x;NO_y;NAME_y;LON_y;LAT_y;ID
10768;10061;10.0;10.0;10.0;10.0;10.0;8.0;0.0;10768;SASSENAGE, VIEUX DONJON;5.6497697830200195;45.21138000488281;10061;SASSENAGE, BEAUREVOIR;5.6486101150512695;45.21009063720703;967
10768;10145;11.0;11.0;11.0;11.0;11.0;9.0;0.0;10768;SASSENAGE, VIEUX DONJON;5.6497697830200195;45.21138000488281;10145;SASSENAGE, CHATEAU DE BEAUREVOIR;5.65201997756958;45.21234130859375;968
10769;10494;3.0;2.0;3.0;2.0;2.0;0.0;0.0;10769;VIF, VIF GARE;5.68572998046875;45.048240661621094;10494;VIF, LE MASSEGU;5.67464017868042;45.05194091796875;969
10769;10718;22.0;21.0;22.0;21.0;22.0;0.0;0.0;10769;VIF, VIF GARE;5.68572998046875;45.048240661621094;10718;SAINT-GEORGES-DE-COMMIERS, ST-GEORGES-DE-COMMIERS GARE;5.70173978805542;45.04362869262695;970
10769;10770;17.0;17.0;17.0;17.0;17.0;0.0;0.0;10769;VIF, VIF GARE;5.68572998046875;45.048240661621094;10770;VIF, RIVALTA;5.676549911499023;45.053009033203125;971
10770;10494;74.0;73.0;75.0;73.0;74.0;42.0;15.0;10770;VIF, RIVALTA;5.676549911499023;45.053009033203125;10494;VIF, LE MASSEGU;5.67464017868042;45.05194091796875;972
10770;10769;19.0;19.0;19.0;19.0;19.0;0.0;0.0;10770;VIF, RIVALTA;5.676549911499023;45.053009033203125;10769;VIF, VIF GARE;5.68572998046875;45.048240661621094;973
10770;10771;82.0;81.0;82.0;81.0;81.0;36.0;15.0;10770;VIF, RIVALTA;5.676549911499023;45.053009033203125;10771;VIF, VIF MAIRIE;5.668970108032227;45.05583953857422;974
10770;10780;8.0;8.0;8.0;8.0;8.0;6.0;0.0;10770;VIF, RIVALTA;5.676549911499023;45.053009033203125;10780;VIF, Z.A. DES SPEYRES;5.681839942932129;45.05690002441406;975
10771;10740;80.0;80.0;80.0;80.0;80.0;36.0;15.0;10771;VIF, VIF MAIRIE;5.668970108032227;45.05583953857422;10740;VIF, URIOL;5.668560028076172;45.060630798339844;976
10771;10770;86.0;85.0;86.0;85.0;86.0;36.0;15.0;10771;VIF, VIF MAIRIE;5.668970108032227;45.05583953857422;10770;VIF, RIVALTA;5.676549911499023;45.053009033203125;977
10773;10092;9.0;9.0;9.0;9.0;9.0;6.0;0.0;10773;BRESSON, LES VIGNES;5.745739936828613;45.13808822631836;10092;BRESSON, BRESSON MAIRIE;5.747710227966309;45.137699127197266;978
10775;10400;112.0;112.0;112.0;112.0;112.0;83.0;51.0;10775;ECHIROLLES, LE VILLAGE;5.720570087432861;45.14133071899414;10400;ECHIROLLES, PAUL LANGEVIN;5.723130226135254;45.14345932006836;979
10777;10633;57.0;57.0;57.0;57.0;57.0;36.0;13.0;10777;SAINT-EGREVE, VISANCOURT;5.686059951782227;45.23316955566406;10633;SAINT-EGREVE, PONT DE VENCE;5.682300090789795;45.2300910949707;980
10778;10018;19.0;19.0;19.0;19.0;19.0;12.0;0.0;10778;VIZILLE, PARC VOHRINGEN;5.76947021484375;45.078880310058594;10018;VIZILLE, L'ALLIANCE;5.769000053405762;45.08184051513672;981
10778;10450;20.0;20.0;20.0;20.0;20.0;11.0;0.0;10778;VIZILLE, PARC VOHRINGEN;5.76947021484375;45.078880310058594;10450;VIZILLE, LES FORGES;5.768579959869385;45.0771598815918;982
10780;10016;8.0;8.0;8.0;8.0;8.0;6.0;0.0;10780;VIF, Z.A. DES SPEYRES;5.681839942932129;45.05690002441406;10016;VIF, ALLEE DES GRANGES;5.684720039367676;45.05794906616211;983
10780;10770;7.0;7.0;8.0;7.0;7.0;6.0;0.0;10780;VIF, Z.A. DES SPEYRES;5.681839942932129;45.05690002441406;10770;VIF, RIVALTA;5.676549911499023;45.053009033203125;984
