sous_ligne;id_ligne_num;route_short_name;route_long_name;1;2;3;4;5;6;7
35_0_10583_10376_18_1123.0;35;59;Gières Gare - Chamandier / Saint-Martin-d'Uriage La Ronzière / Hautes Vues;0.0;0.0;1.123;0.0;0.0;0.0;0.0
35_0_10634_10376_15_0.0;35;59;Gières Gare - Chamandier / Saint-Martin-d'Uriage La Ronzière / Hautes Vues;0.0;0.0;0.0;0.0;0.0;0.0;0.0
35_0_10634_10376_16_0.0;35;59;Gières Gare - Chamandier / Saint-Martin-d'Uriage La Ronzière / Hautes Vues;0.0;0.0;0.0;0.0;0.0;0.0;0.0
35_1_10376_10376_36_8221.0;35;59;Gières Gare - Chamandier / Saint-Martin-d'Uriage La Ronzière / Hautes Vues;16.442;16.442;0.0;16.442;16.442;0.0;0.0
35_1_10376_10376_48_8221.0;35;59;Gières Gare - Chamandier / Saint-Martin-d'Uriage La Ronzière / Hautes Vues;8.221;8.221;8.221;8.221;8.221;0.0;0.0
35_1_10376_10376_49_8221.0;35;59;Gières Gare - Chamandier / Saint-Martin-d'Uriage La Ronzière / Hautes Vues;16.442;16.442;32.884;16.442;16.442;0.0;0.0
35_1_10376_10583_22_2051.0;35;59;Gières Gare - Chamandier / Saint-Martin-d'Uriage La Ronzière / Hautes Vues;0.0;0.0;2.051;0.0;0.0;0.0;0.0
35_1_10376_10634_15_0.0;35;59;Gières Gare - Chamandier / Saint-Martin-d'Uriage La Ronzière / Hautes Vues;0.0;0.0;0.0;0.0;0.0;0.0;0.0
35_1_10376_10634_16_0.0;35;59;Gières Gare - Chamandier / Saint-Martin-d'Uriage La Ronzière / Hautes Vues;0.0;0.0;0.0;0.0;0.0;0.0;0.0
35_1_10376_10665_20_7529.0;35;59;Gières Gare - Chamandier / Saint-Martin-d'Uriage La Ronzière / Hautes Vues;0.0;0.0;7.529;0.0;0.0;0.0;0.0
35_1_10376_10665_32_7529.0;35;59;Gières Gare - Chamandier / Saint-Martin-d'Uriage La Ronzière / Hautes Vues;7.529;7.529;7.529;7.529;7.529;0.0;0.0
35_1_10376_10665_33_7529.0;35;59;Gières Gare - Chamandier / Saint-Martin-d'Uriage La Ronzière / Hautes Vues;7.529;7.529;0.0;7.529;7.529;0.0;0.0
36_0_10524_10593_20_6983.0;36;60;Proveysieux Planfay Haut / Saint-Égrève Muret;41.898;41.898;48.881;41.898;41.898;34.915;0.0
36_1_10593_10290_20_8112.0;36;60;Proveysieux Planfay Haut / Saint-Égrève Muret;40.56;40.56;40.56;40.56;40.56;24.336;0.0
37_0_10524_10258_13_4381.0;37;61;Quaix-en-Chartreuse Village / Saint-Égrève Muret;30.667;30.667;30.667;30.667;30.667;17.524;0.0
37_1_10258_10290_13_5766.0;37;61;Quaix-en-Chartreuse Village / Saint-Égrève Muret;40.362;40.362;40.362;40.362;40.362;23.064;0.0
38_0_10719_10205_22_9246.0;38;N62;Grenoble Notre-Dame - Musée / Sarcenas Pont du Croz / Col de Porte;0.0;0.0;0.0;0.0;0.0;83.214;83.214
38_0_10719_10689_23_8314.0;38;N62;Grenoble Notre-Dame - Musée / Sarcenas Pont du Croz / Col de Porte;49.884;49.884;49.884;49.884;49.884;0.0;0.0
38_1_10205_10779_23_10059.0;38;N62;Grenoble Notre-Dame - Musée / Sarcenas Pont du Croz / Col de Porte;0.0;0.0;0.0;0.0;0.0;90.531;90.531
38_1_10689_10779_24_9127.0;38;N62;Grenoble Notre-Dame - Musée / Sarcenas Pont du Croz / Col de Porte;54.762;54.762;54.762;54.762;54.762;0.0;0.0
39_0_10271_10530_10_2426.0;39;63;Mont-Saint-Martin Chemin de Namière / Saint-Égrève Gare;4.852;4.852;4.852;4.852;4.852;4.852;0.0
39_1_10530_10271_10_2426.0;39;63;Mont-Saint-Martin Chemin de Namière / Saint-Égrève Gare;4.852;7.278;4.852;4.852;4.852;4.852;0.0
40_0_10453_10453_7_2007.0;40;64;Le Pont-de-Claix ZI des Îles / Le Pont-de-Claix L'Etoile;8.028;8.028;8.028;8.028;8.028;0.0;0.0
41_0_10565_10327_24_12528.0;41;65;Grenoble Grand'place / Vizille Le Péage;137.808;137.808;137.808;137.808;137.808;87.696;0.0
41_1_10327_10565_24_12528.0;41;65;Grenoble Grand'place / Vizille Le Péage;137.808;137.808;137.808;137.808;137.808;75.168;0.0
42_0_10600_10191_19_7859.0;42;66;Jarrie Clos Jouvin / Échirolles La Rampe - Centre-Ville;15.718;15.718;15.718;15.718;15.718;0.0;0.0
42_0_10600_10191_20_8630.0;42;66;Jarrie Clos Jouvin / Échirolles La Rampe - Centre-Ville;94.93;94.93;94.93;94.93;94.93;43.15;0.0
42_1_10191_10242_16_8839.0;42;66;Jarrie Clos Jouvin / Échirolles La Rampe - Centre-Ville;114.907;114.907;114.907;114.907;114.907;44.195;0.0
